Signatures	Multi Pathway 	X17.AAG	X5.FU	X5.FdUR	AG1478	Sigma.AKT1.2.inhibitor	Triciribine	AS.252424	AZD6244	BEZ235	BIBW2992	Baicalein	Bortezomib	CGC.11047	CGC.11144	CPT.11	Carboplatin	Cisplatin	Disulfiram	Docetaxel	Doxorubicin	ERKi.II..FR180304.	Epirubicin	Erlotinib	Etoposide	Everolimus	FTase.inhibitor.I	Fascaplysin	GSK923295	GSK1070916	GSK1120212	GSK1059868	GSK1838705	GSK461364	GSK2119563	GSK2126458	GSK2141795	GSK1059615	GSK650394	Lapatinib	Geldanamycin	Gemcitabine	Glycyl.H1152	ICRF.193	IKK.16	Ibandronate.sodium.salt	Imatinib	Gefitinib	Ixabepilone	LBH589	Lestaurtinib.CEP.701.	MG.132	MLN4924	Mebendazole	Methotrexate	NSC663284	NU6102	Nelfinavir	Nutlin.3a	Olomoucine.II	Oxaliplatin	Oxamflatin	PD98059	PF.2341066	PF.3084014	PF.3814735	PF.4691502	Paclitaxel	Pemetrexed	Purvalanol.A	L.779450	Rapamycin	Vorinostat	SB.3CT	Ispinesib	Bosutinib	Sorafenib	Sunitinib.Malate	TCS.PIM.11	TCS2312.dihydrochloride	Topotecan	Tamoxifen	Temsirolimus	Trichostatin.A	Tykerb.IGF1R..1.1.	VX.680	Valproic.acid	Velcade	Vinorelbine	XRP44X	ZM447439
bad	AKT_BAD_IGF1R   	0.08511308	0.005366991	0.409385529	-0.047641818	-0.370752728	0.026771402	-0.357355021	0.433531618	0.04102109	-0.216349992	0.710807182	-0.011214489	0.372959087	0.259675244	0.493487014	0.28462037	0.217193779	0.286133636	0.355602462	0.506908538	-0.17247279	0.244753248	0.012848467	0.458196973	-0.159276447	0.016598908	-0.430526197	0.384615949	0.229455856	0.304162958	0.09768802	0.021847722	0.126891505	-0.240794775	-0.368263761	-0.446867509	-0.172524397	0.622461849	-0.337322873	0.546839758	0.267810465	0.458577396	0.577707596	0.281229414	-0.290978181	-0.213912637	0.043413937	0.26756788	-0.043357723	0.117967933	0.51200999	0.157756972	0.186074011	-0.147584484	0.363409576	0.26676729	-0.054199304	0.230392996	0.670087032	0.432380264	0.095212111	0.09130652	0.038564735	-0.229898925	0.046762048	-0.571431485	0.284659489	-0.148893628	-0.105220411	-0.317175101	-0.369293594	-0.150985806	0.530642785	0.253244584	0.263701307	-0.034473641	0.186286431	0.218261417	-0.153727767	0.562317402	0.14413684	-0.050220912	0.024217465	-0.242290257	0.476373753	-0.030046505	0.339936367	0.235945736	0.578505983	0.041891164
bad	BAD_IGF1R   	0.18098523	-0.036356385	0.209382172	-0.188837779	-0.166581954	0.060318516	-0.083593176	0.293878069	0.090826927	-0.223008186	0.748565776	0.100620917	0.529903028	0.450018134	0.4077996	0.242637596	0.068639534	0.219553013	0.203037878	0.477911001	0.060374152	0.17736481	-0.102541205	0.296997909	-0.014091607	0.087928179	-0.187886308	0.24420223	0.186716573	0.212027884	0.111523365	-0.019018921	-0.065060703	-0.209934249	-0.288334781	-0.314262756	-0.052884478	0.47252795	-0.209097305	0.447212775	0.030149049	0.312268326	0.490880378	0.305892202	-0.151713231	-0.156776593	-0.059411619	0.214418982	0.137624652	0.263191643	0.346225588	0.341589506	0.131837419	-0.283608318	0.387406815	0.197272614	0.118757513	0.073284093	0.636648882	0.289442714	0.294456727	0.126535473	-0.091984691	-0.022326954	-0.012441008	-0.442622392	0.115244785	-0.187861955	-0.200005785	-0.180170155	-0.087499772	0.16370079	0.61856708	0.020747318	0.226884202	0.048482987	0.17345268	0.259180383	-0.082998915	0.566938218	0.312889056	0.114434314	0.301489616	-0.208607729	0.378332067	0.228665909	0.492155058	0.122643158	0.56806123	0.023775952
bad	Her2_BAD   	0.187772383	0.003758638	0.225889039	-0.177288812	-0.301131137	-0.112139818	-0.187549847	0.208129115	0.007915094	-0.323006027	0.854497497	0.037564178	0.435816694	0.194990988	0.499758428	0.346936262	0.242489751	0.289527605	0.357008923	0.373000904	-0.261642175	0.283402188	-0.138236139	0.294629263	-0.095045242	0.035215541	-0.332531419	0.405130441	0.330985534	0.115112233	0.084120482	-0.132182318	0.136214495	-0.27555756	-0.474315245	-0.384584748	-0.278760577	0.423666303	-0.348046508	0.510206256	0.219766165	0.459558344	0.468025936	0.293270014	-0.200971589	-0.273651816	-0.148489986	0.236331138	0.045841928	0.21186153	0.377964342	0.069722913	0.187538645	-0.356935957	0.346406011	0.192209306	-0.15555257	0.054191705	0.701387832	0.498656711	0.203304516	0.207109398	0.103462438	-0.003879803	0.097491677	-0.505153574	0.338212248	-0.205920473	-0.095987145	-0.161126915	-0.182911504	0.070132317	0.59723027	0.141672465	0.290382254	0.035174337	0.267878742	0.269728322	0.021402537	0.582367171	0.074415984	0.0661386	0.327847174	-0.451078068	0.469997238	0.112036609	0.369396944	0.142726421	0.585973098	0.091585814
bad	IGF1R_BAD_HER2   	0.171367543	-0.013522519	0.165729108	-0.136809643	-0.137023652	0.062174537	0.041211481	0.128302127	0.047724589	-0.183896083	0.795449449	0.04014915	0.406297241	0.319645816	0.353328483	0.22211779	0.00285485	0.275604119	0.202568789	0.364755535	-0.048974088	0.081945333	-0.146722955	0.196880591	0.005448083	-0.050391644	-0.131279116	0.180688338	0.095275772	0.053281265	0.193946322	-0.152917595	-0.096679484	-0.274463363	-0.391676322	-0.319744108	-0.177157904	0.329023634	-0.194698626	0.473956505	-0.019928034	0.204907597	0.354120992	0.139061466	-0.179053154	-0.282485428	-0.080391221	0.169641491	0.19190859	0.189798394	0.235946728	0.284236898	0.093148011	-0.332032085	0.382793741	0.067755381	0.074310662	0.009251172	0.666354658	0.313942042	0.332089164	0.104057415	-0.152300025	-0.050786169	-0.12255657	-0.456178105	0.172047449	-0.202797944	-0.288946952	-0.14134161	-0.090008902	0.142057292	0.691176199	-0.021803411	0.219749729	-0.092059588	0.093675963	0.118371144	-0.032701314	0.458377346	0.238236631	0.097042116	0.367984705	-0.370536012	0.240144531	0.260355146	0.385145724	0.067106004	0.51028663	-0.066451463
bad	all_4   	0.046464132	-0.019804685	0.269626699	0.049363887	-0.190309878	0.012020078	-0.089929891	0.236357729	0.181259275	-0.040959485	0.756556626	-0.131660015	0.209564746	0.05111781	0.366931088	0.191217618	0.014759114	0.262350914	0.248103237	0.30919213	-0.157599369	0.049056875	-0.06368209	0.197736866	-0.057873502	-0.201776266	-0.265700569	0.238939386	0.074961911	0.095867715	0.346460581	-0.230728674	0.013808011	-0.246202045	-0.374646922	-0.327060219	-0.274014305	0.444256147	-0.185497283	0.555802255	0.097121962	0.296154837	0.444087395	0.084501587	-0.286053473	-0.32631468	0.053601592	0.160686864	0.15308072	0.088684432	0.28071268	0.122377466	0.097644964	-0.234272458	0.258469257	0.081551687	-0.074495437	0.081207373	0.627403917	0.407381695	0.228471519	0.075821734	-0.137516848	-0.226383154	-0.152857659	-0.499410931	0.244267596	-0.090364858	-0.245296959	-0.189613747	-0.257729452	-0.042286735	0.57802583	0.111442183	0.316168653	-0.212460013	-0.005925844	0.112296387	-0.087969006	0.341357145	0.135142441	-0.028608018	0.187398333	-0.391591367	0.238942802	0.178329599	0.220689703	0.164979387	0.511510324	-0.095032298
bad	bad_s_a	0.206615626	-0.145732483	-0.142285735	-0.185084276	0.218873563	-0.041936365	0.22940549	0.139660486	0.385579802	0.009542363	0.630171252	0.076478301	0.541134853	0.378894495	0.255332168	0.174868977	-0.110912044	0.034372775	-0.043491335	0.308913264	0.338710482	0.063574229	-0.20425795	-0.046710632	0.254915698	0.00580382	0.079363613	0.079536311	0.086920557	0.10909794	0.303836044	-0.230910466	-0.204968294	-0.051612923	0.010005075	0.045675638	0.028185722	0.275765305	0.101154134	0.329261956	-0.209665133	0.174218874	0.385027013	0.282838568	0.095081349	-0.061429381	-0.105435469	0.048874516	0.404302997	0.35258421	0.07786699	0.416735862	0.043031217	-0.362826668	0.204568863	0.026743802	0.236766526	-0.20918068	0.403817412	0.165684803	0.424024374	0.177760279	-0.282674486	0.181114992	-0.126565616	-0.116493187	-0.148107442	-0.035440777	-0.26546372	0.060545773	0.257036246	0.520308689	0.499767781	-0.24530008	0.371860167	0.080288562	0.010432814	0.349914129	-6.34E-05	0.389088854	0.358339927	0.299180489	0.547574874	-0.14303432	0.156626241	0.544225234	0.564582414	0.086784835	0.454998046	0.00983057
her2	AKT_BAD_HER2   	0.104979294	0.109444144	0.34004769	-0.200465281	-0.473624309	0.047605963	-0.697756706	0.49627412	-0.370420713	-0.448977293	-0.172717795	0.35053207	0.390312039	0.449879038	0.270076124	0.209432572	0.535466731	-0.033163728	0.281508609	0.409035099	-0.095398694	0.484518116	0.266124425	0.625825263	-0.299928713	0.572323225	-0.443848437	0.326599999	0.428753298	0.553082361	-0.710620781	0.68600678	0.274625953	0.011605334	0.04802843	-0.277002704	0.289194435	0.416898321	-0.367485093	-0.068401909	0.413984486	0.404167525	0.301784677	0.505575431	-0.022568576	0.329442435	0.002485184	0.200936385	-0.584382318	-0.001750671	0.583924265	-0.019863982	0.163866921	0.237582729	0.2428433	0.485508819	0.020419884	0.401064287	0.050154435	0.041143369	-0.427948508	0.026422988	0.477135241	-0.004166503	0.561474927	-0.146107312	0.089600501	-0.197299146	0.447695152	-0.266626172	-0.257985498	-0.321134468	-0.2169669	0.330010416	-0.147960168	0.4702255	0.506849793	0.296816966	-0.213477297	0.520704984	-0.036805256	-0.076884511	-0.460667856	0.429462793	0.580468272	-0.568091831	0.235105056	0.119342679	0.066903613	0.336041007
her2	Her2_AKT   	0.0306327	-0.079836787	0.452338888	-0.352702489	-0.704783147	-0.063648369	-0.736072733	0.406141191	-0.477214238	-0.551377667	0.107830073	0.214599818	0.298677389	0.487784773	0.341989385	0.231671625	0.492168781	0.398927235	0.267679695	0.532395852	-0.236911618	0.454110719	-0.042476778	0.734888501	-0.381299846	0.31604558	-0.533164326	0.489422248	0.297439176	0.317610563	-0.439381083	0.477661139	0.355801718	-0.246238875	-0.346421921	-0.507215233	-0.119632177	0.48537167	-0.535297684	0.060320897	0.543335824	0.506453181	0.29712949	0.360126026	-0.0738586	0.129145209	-0.185019294	0.355793221	-0.398050875	0.087421311	0.538722936	0.100318373	0.298623058	0.105347539	0.312428706	0.315093323	-0.045980654	0.288912646	0.40868984	0.231505343	-0.241507443	-0.056800708	0.398938685	-0.236875642	0.292321903	-0.495352613	0.257099704	-0.111689727	0.145146008	-0.645181381	-0.569281333	-0.377763633	0.148308098	0.469259755	-0.165827549	0.210217831	0.404820011	0.056441165	-0.021900099	0.563137012	0.03561698	-0.246274315	-0.374539516	0.028530563	0.670014541	-0.61935423	0.336441838	0.229687699	0.371253152	0.4411721
her2	Her2_BAD   	-0.250117636	-0.434273737	-0.619623061	-0.081186783	0.659783163	-0.092647247	0.548752178	-0.335644354	0.395420014	0.437521742	-0.447960851	0.144061529	0.027182322	0.183507316	-0.504932492	-0.402041685	-0.512782425	-0.241471112	-0.615191123	-0.216259984	0.817392035	-0.36655053	-0.281847679	-0.593498959	0.480174932	-0.094949225	0.509175448	-0.475921451	-0.413053645	-0.280236125	0.264899407	-0.265076587	-0.42873117	0.220737213	0.556781978	0.712109024	0.358980379	-0.452137584	0.681964105	-0.566413464	-0.499709388	-0.368901265	-0.334003154	-0.165530286	0.503069004	0.21919092	-0.041082867	-0.258398391	0.605981527	0.300290382	-0.565534313	0.298618924	-0.054354827	0.051311493	-0.222843425	-0.332024835	0.42720062	-0.425633037	-0.43379252	-0.671017352	0.40653658	-0.0552686	-0.413764913	0.263586004	-0.317020779	0.653997342	-0.618665708	0.224365283	-0.307934575	0.147753117	0.647931503	0.63389401	-0.216902971	-0.432810369	-0.120418431	0.011114022	-0.448131459	-0.051349391	0.261303822	-0.474737603	0.312631651	0.317322846	0.235598716	0.317095742	-0.430169755	0.506034421	0.214281447	-0.172123259	-0.30143948	0.074468374
her2	Her2_IGF1R   	-0.160526998	-0.281577866	-0.376086056	0.02478528	0.56908864	0.139847706	0.430838662	-0.041194285	0.448047915	0.485204204	-0.535473589	0.035279914	-0.045377484	0.226110086	-0.487080927	-0.428970284	-0.558458752	-0.30999725	-0.635293287	-0.127940743	0.859685051	-0.395150913	-0.066947713	-0.415812403	0.334952555	-0.074722766	0.505302952	-0.497709452	-0.448617603	-0.022831056	0.288641225	-0.021431174	-0.464101286	0.275537359	0.656694878	0.549432716	0.444160606	-0.181270354	0.615658173	-0.433623074	-0.539390485	-0.409859513	-0.170405798	-0.106896876	0.346850513	0.36459624	0.133768628	-0.250317441	0.430199149	0.142783565	-0.443465375	0.433255588	-0.197580017	0.177215875	-0.264168175	-0.215290848	0.538692723	-0.250290309	-0.486805724	-0.622931672	0.239127781	-0.199667363	-0.517333322	0.053497293	-0.360574482	0.493530791	-0.700621598	0.282786487	-0.230267983	0.0970967	0.439552491	0.423208212	-0.285162882	-0.41862152	-0.1045873	-0.024270625	-0.452358153	-0.033079253	-0.035129966	-0.434915051	0.435367178	0.128459883	0.024215573	0.545377859	-0.432932447	0.418777564	0.143747285	-0.098668853	-0.254597813	-0.056737964
her2	IGF1R_BAD_HER2   	0.002940076	0.083157865	0.149126848	0.022854988	-0.031608215	0.095070943	-0.467545398	0.528682728	0.029980504	-0.039383452	-0.453825666	0.219554225	0.290687593	0.324829833	0.12404081	0.072278751	0.304755615	-0.332175248	0.090066758	0.299758844	0.284909982	0.316074204	0.384323678	0.347639698	-0.040103211	0.521179423	-0.200865839	0.110471318	0.270392884	0.615625764	-0.49112513	0.576220233	0.136429969	0.329883574	0.511759682	0.089409947	0.571249045	0.349729059	-0.004399651	-0.150910719	0.201166879	0.212510196	0.314850759	0.456115883	0.079337578	0.424678467	0.229889056	0.073116219	-0.39049356	0.025619086	0.421297474	0.051987257	0.081746808	0.377723675	0.014506904	0.452303303	0.15146766	0.346493469	-0.331025305	-0.18618292	-0.360917261	0.058792839	0.284257545	0.099036398	0.481116395	0.237807376	-0.178607803	0.006268194	0.436697687	0.013892138	0.03090725	-0.134326525	-0.480092866	0.179657794	-0.026709683	0.487832864	0.276956835	0.388998911	-0.286065997	0.251872861	0.035315976	0.083579524	-0.471856693	0.721299755	0.312261079	-0.292802241	0.145286384	0.149510794	-0.1078202	0.177531087
