	CancerType	CellLineName	ExpressionArrayName	Gender	HistSubtype	Histology	PrimarySite	SNPArrayName	Source
0f21ca56-edd9-4a2b-a340-adb888bf2bd1	LGG	AM-38	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_F12_419810	M	astrocytoma_Grade_IV	glioma	central_nervous_system	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_C08_437504	HSRRB
0f22d586-97bb-4b79-bbf8-60cd87ab35ef	LUSC	NCI-H2122	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_G02_240996	F	adenocarcinoma	carcinoma	lung	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C03_246662	ATCC
0f8c8567-510b-43ae-8ef0-2f979d9b9ee5	SKCM	C32	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_F07_296122	M	NS	malignant_melanoma	skin	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B03_256030	ATCC
0fa36f1c-5419-4fc2-82b7-0642fafe78cd	LGG	KG-1-C	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_C10_419732	M	astrocytoma_Grade_IV	glioma	central_nervous_system	QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_G07_592682	HSRRB
0feb9dc5-7ef2-44ff-918e-eb47ba634742	STAD	OCUM-1	CASED_p_NCLE_RNA4_HG-U133_Plus_2_E07_383688	F	diffuse_adenocarcinoma	carcinoma	stomach	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B03_437300	HSRRB
10afe75e-20b3-4599-9f13-20d8cc506dde	LCLL	PL-21	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_G04_523576	M	acute_myeloid_leukaemia	haematopoietic_neoplasm	haematopoietic_and_lymphoid_tissue	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_F09_542934	DSMZ
10f07e04-30a5-4741-820b-802a95851df2	SARC	RH-30	GAZER_p_NCLE_Expr_P13_HG-U133_Plus_2_B02_779634	M	alveolar	rhabdomyosarcoma	soft_tissue	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_F07_490390	DSMZ
1138456d-ecc5-45f4-a169-9ba373d5d71a	SKCM	IGR-37	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_E12_257716	M	NS	malignant_melanoma	skin	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E07_256110	DSMZ
118cfc68-ab66-479e-beae-57c020535252	SKCM	Hs 895.T	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_B12_436534	F	NS	malignant_melanoma	skin	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_G12_464662	ATCC
127d1510-a54b-4a55-b62d-741fd11fa781	COAD	HCT-15	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_B01_241066	M	adenocarcinoma	carcinoma	large_intestine	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B09_256042	ATCC
1281b446-2369-4849-9298-eda7796c00bd	LUSC	Calu-6	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_E04_241144	F	undifferentiated_carcinoma	carcinoma	lung	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G10_293442	ATCC
1321bb61-3596-4c34-9162-fb26f2d152cc	LGG	8-MG-BA	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_E02_296088	F	astrocytoma_Grade_IV	glioma	central_nervous_system	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E11_293396	DSMZ
1327bac0-cbc4-4e26-b45d-6d9a1d24ef11	LUSC	RERF-LC-MS	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_G12_241208		non_small_cell_carcinoma	carcinoma	lung	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D12_293374	HSRRB
1340ffd9-0935-4322-b5cc-a99d295c4ee9	LCLL	RCH-ACV	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_G12_474660	F	acute_lymphoblastic_B_cell_leukaemia	lymphoid_neoplasm	haematopoietic_and_lymphoid_tissue	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_H05_542822	DSMZ
13442d3a-26b1-41b0-b45a-94b2576b2aab	COAD	HT-29	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_B02_257624	F	adenocarcinoma	carcinoma	large_intestine	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B01_256026	ATCC
138baac4-e088-43d7-9142-398913b43fa8	KIRC	SNU-1272	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_D03_698774	F	clear_cell_renal_cell_carcinoma	carcinoma	kidney	QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_B08_592666	KCLB
13943ed3-bc54-4fb2-9919-89a3e916be36	LIHC	HuH-6	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_C09_698870		hepatoblastoma	other	liver	QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_D04_592756	RIKEN
13af1b07-deab-4639-850f-acea245849bf	SKCM	IGR-1	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_E02_569410	M	NS	malignant_melanoma	skin	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_C02_542918	DSMZ
13b17f21-d5b1-4e21-b99b-66ef2ae15a6e	LUSC	HCC827	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_B05_523590	F	adenocarcinoma	carcinoma	lung	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_G03_542786	ATCC
14763ac6-5fdc-40db-ac52-dd1816b2fac1	LCLL	MHH-CALL-2	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_E05_474712	F	acute_lymphoblastic_B_cell_leukaemia	lymphoid_neoplasm	haematopoietic_and_lymphoid_tissue	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C03_578316	DSMZ
1484b59f-5520-41f4-a771-c3ad088f02ad	BRCA	MDA-MB-415	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_H09_296174	F	NS	carcinoma	breast	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C09_335252	ATCC
14bbbaf5-075c-4653-bc7d-592aacf2526c	DLBC	L-540	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_H03_523604	F	Hodgkin_lymphoma	lymphoid_neoplasm	haematopoietic_and_lymphoid_tissue	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_A08_542868	DSMZ
151818fd-57f9-46b7-8bd1-312c9272f9f8	LCLL	JVM-3	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_C10_474758	M	chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	lymphoid_neoplasm	haematopoietic_and_lymphoid_tissue	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D08_490438	DSMZ
153f4129-422e-40e8-9443-79e7a04e2dbd	LUSC	MSTO-211H	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_F02_436470	M	NS	mesothelioma	pleura	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E06_437254	ATCC
1560c3e0-7e26-4259-960f-cd1147207277	LUSC	NCI-H1568	CASED_p_NCLE_RNA4_HG-U133_Plus_2_A08_383764	F	non_small_cell_carcinoma	carcinoma	lung	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C08_335250	ATCC
156e2c9c-d517-43c6-ad05-213466003d60	BRCA	CAL-85-1	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_A11_257618	F	NS	carcinoma	breast	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B04_256032	DSMZ
15903736-28e7-4842-9477-584736a7473d	SKCM	UACC-257	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_E01_257694		NS	malignant_melanoma	skin	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H08_246792	NCI/DCTD
15b23974-9cd6-49de-9e59-a313c37d8319	SKCM	HT-144	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_B08_454598	M	NS	malignant_melanoma	skin	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C10_437272	ATCC
15d98240-4198-4398-9252-624506ccb6c0	LUSC	NCI-H2081	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_D09_569554	F	small_cell_carcinoma	carcinoma	lung	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_C01_542960	ATCC
15ea12f5-1702-48d7-8cd0-98659cddb7e2	LIHC	SNU-398	CASED_p_NCLE_RNA4_HG-U133_Plus_2_G05_383642	M	hepatocellular_carcinoma	carcinoma	liver	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B07_437308	ATCC
15fd1021-9c4a-4037-b4bb-ee1d1ebc6269	SKCM	COLO-783	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_A10_569576	F	NS	malignant_melanoma	skin	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D08_293366	DSMZ
165a838c-b8d4-4ba0-bae5-b1196bab039b	LCLL	MONO-MAC-6	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_A07_523562	M	acute_myeloid_leukaemia	haematopoietic_neoplasm	haematopoietic_and_lymphoid_tissue	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_H02_698582	DSMZ
166efd97-7b71-4089-be92-d8d006f86c3b	KIRC	786-O	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A07_240862	M	clear_cell_renal_cell_carcinoma	carcinoma	kidney	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_E12_256120	ATCC
16ed3f7c-c5f8-4423-bc2e-6ce2f87dc530	HNSC	BICR 16	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_A03_698898	M	squamous_cell_carcinoma	carcinoma	upper_aerodigestive_tract	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_E12_542820	ECACC
17295c60-b222-42e5-a164-9aa7e4136534	BRCA	T-47D	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_H12_436432	F	ductal_carcinoma	carcinoma	breast	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D03_437522	ATCC
1754e59c-2df3-4a5c-8cbe-5b77a2bca7da	MM	KARPAS-620	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_F09_474650	F	plasma_cell_myeloma	lymphoid_neoplasm	haematopoietic_and_lymphoid_tissue	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E12_578358	DSMZ
17765186-1262-4ca2-9c90-c7bbabe6f9f3	BRCA	EFM-192A	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_B11_240894	F	NS	carcinoma	breast	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H09_246794	DSMZ
17e67300-cd97-4a47-9117-94cbb721b9d1	PRAD	NCI-H660	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_B02_454586	M	small_cell_carcinoma	carcinoma	prostate	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C11_464558	ATCC
182d6bc8-29ef-4e72-9732-1b808b93de3f	LCLL	MHH-CALL-3	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_G08_523528	F	acute_lymphoblastic_B_cell_leukaemia	lymphoid_neoplasm	haematopoietic_and_lymphoid_tissue	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_H12_578278	DSMZ
186990c0-9100-4449-bab3-65447946221b	BRCA	HCC1954	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_F08_419788	F	ductal_carcinoma	carcinoma	breast	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A04_437564	ATCC
187c4576-27cf-46ab-8d8a-e882d547df3e	COAD	SNU-61	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_E03_698884	M	NS	carcinoma	large_intestine	QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_E11_592654	KCLB
188d620d-1838-43d1-a278-3b5d7decf91d	COAD	LoVo	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_E09_296102	M	adenocarcinoma	carcinoma	large_intestine	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_D05_293360	ATCC
192ac756-5175-4acd-92be-357cdf926d33	HNSC	FaDu	CASED_p_NCLE_RNA4_HG-U133_Plus_2_C06_383656	M	squamous_cell_carcinoma	carcinoma	upper_aerodigestive_tract	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F12_335330	ATCC
194d8dca-fde8-4684-8925-8152b246a3e8	BRCA	Hs 606.T	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_H08_296172	F	NS	carcinoma	breast	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A11_437328	ATCC
