	Cell lines	ER	PR	HER2	Gene expression subtype	Transcriptional.subtype	Transcriptional.subtype...ERBB2.status	Bafilomycin	Bin_bafilomycin	Doxorubicin	Bin_Doxorubicin	Erlotinib	Bin_Erlotinib	MK2206	Bin_MK2206	Neratinib	Bin_Neratinib	Paclitaxel	Bin_Paclitaxel	UMI.77	Bin_UMI77	BKM120	Bin_BKM120	Carboplatin	Bin_Carboplatin	NAV.4471	Bin_NAV4471	Navitaclax	Bin_Nevitaclax	Obatoclax	Bin_Obatoclax	Palbo	Bin_Palbo	RA190	Bin_RA190	SAHA	Bin_SAHA	Sigma AKT1/2 inhibitor	Bin_Sigma_AKT1/2_inhibitor	Sorafinib	Bin_Sorafinib	Tramatinib	Bin_Trametinib
HCC1937	HCC1937	-	-	-	basal	Basal	Basal	5.041574693	1	5.75126677	1	4.553305981	0	5.964930656	1	3.900664377	0	NA	0	4.866457898	1	5.81414633	1	3.849243253	0	5.240778008	1	6.042584285	1	5.909706669	1	4.243895867	1	NA	0	5.162089748	1	4.654428284	0	4.652668033	1	3.101933284	0
HCC1954	HCC1954	-	-	+	basal/HER2 positive	Basal	ERBB2-amp	7.526805091	1	7.307946635	1	6.421704695	1	7.084758503	1	7.594141601	1	5.595833626	0	6.12720296	1	7.387746094	1	3.964970317	0	5.82185793	1	6.726535727	1	7.040576978	1	4.510602671	1	7.259637311	1	6.413637777	1	6.312917155	1	6.306624849	1	6.837734386	1
HCC2218	HCC2218	-	-	+	luminal/HER2 positive	Luminal	ERBB2-amp	NA	1	NA	0	4.442251056	0	4.91292524	0	NA	1	4.876471751	0	4.974280523	1	NA	0	NA	0	3.893808763	0	5.011882696	1	6.164372834	1	5.008636567	1	NA	0	5.376533617	1	4.814455012	0	5.110132682	1	NA	0
HCC38	HCC38	-	-	-	claudin low	Claudin-low	Claudin-low	7.895512889	1	6.212681243	1	3.691862408	0	5.242520461	1	NA	0	10	0	3.017502586	0	5.640335235	1	3.961776964	0	5.059877148	1	3.395557826	0	6.403952992	1	4.419986745	1	NA	0	4.785153504	0	3.191856507	0	4.441050355	1	2.051049385	0
HCC70	HCC70	-	-	-	basal	Basal	Basal	7.528855035	1	6.439973751	1	5.503471637	0	7.324130045	1	4.709295533	0	5.065395513	0	5.188217279	1	6.625434939	1	4.313988814	1	5.084172941	1	5.90132167	1	6.229074385	1	4.556422556	1	NA	0	5.993491172	1	6.25703933	1	5.127837898	1	NA	0
HS578T	Hs578T	-	-	-	claudin low	Claudin-low	Claudin-low	6.275150912	1	6.02608743	1	3.853251677	0	5.92955575	1	1.409604052	0	NA	0	5.298164441	1	5.894115291	1	4.060979724	1	5.084278389	1	7.275478373	1	6.388701638	1	4.364716356	1	NA	0	5.56175836	1	4.579052947	0	4.89824949	1	NA	0
JIMT1	JIMT-1	-	-	+	basal/HER2 positive trastuzumab Res	Basal	ERBB2-amp	8.56944123	1	6.2612987	1	5.206342298	1	5.7112814	1	4.822172144	0	NA	0	4.981295341	1	6.217384068	1	NA	0	5.255934005	1	5.681081446	1	6.145086978	1	4.73306074	1	2.485319443	0	5.558917864	1	4.201003576	0	4.953891307	1	4.85201159	0
MCF7	MCF7	+	+	-	luminal	Luminal	Luminal	8.018045556	1	5.529280879	1	NA	0	4.646851528	0	NA	0	-0.825620825	0	NA	0	5.574123565	1	2.950007104	0	4.705531569	0	3.967783893	0	6.27067319	1	4.972238721	1	NA	0	4.975510227	0	4.975510227	0	3.623058061	1	NA	0
MDAMB361	MDAMB361	+	-	+	luminal/HER2 positive	Luminal	ERBB2-amp	8.50751899	1	6.233512794	1	4.862010106	0	7.402853512	1	5.816417008	1	NA	0	5.345140295	1	7.360115258	1	2.804653914	0	5.81216918	1	6.598254918	1	6.526659036	1	4.394693876	1	6.604324215	1	6.734474665	1	7.132768285	1	6.282495925	1	5.098100524	1
SKBR3	SKBR3	-	-	+	luminal/HER2 positive	Luminal	ERBB2-amp	7.796151536	1	5.71577236	1	4.538050006	1	5.704630851	1	6.896880746	1	NA	0	NA	0	5.543315196	1	4.103363018	1	4.847708597	0	5.034746544	1	6.046675304	1	4.630967921	1	4.142787554	0	4.757953273	0	4.999561584	0	5.253591568	1	NA	0
T47D	T47D	+	+	-	luminal	Luminal	Luminal	8.361710465	1	6.115998075	1	4.846486961	0	6.213390527	1	3.996539037	0	NA	0	5.631694516	1	6.797239313	1	NA	0	5.814996444	1	5.982924904	1	6.829151796	1	4.377370538	1	5.889040119	0	6.242148656	1	5.571849001	1	5.604132169	1	NA	0
ZR751	ZR75-1	+	-	-	luminal	Luminal	Luminal	6.836838625	1	4.589558526	0	NA	0	6.089482314	1	5.676521012	0	NA	0	2.411840372	0	5.643572558	1	2.551757572	0	4.905176129	0	5.655784624	1	6.09323411	1	4.753498957	1	NA	0	3.912218227	0	4.687397446	0	4.068389085	1	6.770318158	1
ZR7530	ZR75-30	+	-	+	luminal/HER2 positive	Luminal	ERBB2-amp	7.504316932	1	5.443082684	0	5.953465817	1	6.187822226	1	7.943095149	1	NA	0	5.829708941	1	5.661722839	1	3.966978153	0	6.073091898	1	6.035080706	1	6.306097259	1	3.996970098	0	5.935504573	0	5.866748588	1	4.789946473	0	6.295592073	1	4.184554419	0
