	Lapatinib	Sigma.akt.1.2.inhibitor	Temsirolimus	Everolimus
Her2_AKT/nonadap_multi//her2	-0.306538312043398	-0.592942753767927	-0.390257248148126	-0.519500449136917
Her2_BAD/adap_multi//bad	-0.341204070770812	-0.370612207391602	-0.190680842761258	-0.276917953597813
Her2_BAD/adap_multi//her2	0.482578278924733	0.596162020791485	0.382479243692111	0.520506655206632
Her2_BAD/nonadap_multi//bad	-0.307938584386598	-0.306286630766102	-0.145238905334628	-0.221670732560299
Her2_BAD/nonadap_multi//her2	0.50059167879545	0.610816079433118	0.380283204546943	0.55940980785531
Her2_IGF1R/adap_multi//igf1r	0.325745063059644	0.545441389910309	0.0650839396661529	0.357666779534613
Her2_IGF1R/adap_multi//her2	0.561683711717686	0.485253651517078	0.252282102252809	0.366192512548379
Her2_IGF1R/nonadap_multi//igf1r	0.314498613820877	0.536002148224198	0.0229460674967576	0.322858881655455
Her2_IGF1R/nonadap_multi//her2	0.619393206426072	0.432414629618503	0.236457267065656	0.360435012998932
IGF1R_BAD_HER2/adap_multi//igf1r	0.410126436637843	0.627956461868998	0.149484291792365	0.440901274057804
IGF1R_BAD_HER2/adap_multi//bad	-0.272656147320417	-0.292521245332947	-0.0806427162614255	-0.184472461958676
IGF1R_BAD_HER2/adap_multi//her2	0.177600124009745	0.0312534580319582	0.129235010058742	-0.01946354769179
IGF1R_BAD_HER2/nonadap_multi//igf1r	0.407489042147449	0.627221269367085	0.123832686512257	0.41884131922496
IGF1R_BAD_HER2/nonadap_multi//bad	-0.248582362977051	-0.271435749515514	-0.0548243732727372	-0.171862284750653
IGF1R_BAD_HER2/nonadap_multi//her2	0.151343676431059	-0.0268118126759282	0.0998122065355607	-0.0348936422065994
all_4/adap_multi//akt	0.338739310189211	0.560262698476447	0.341929214503022	0.448918570238451
all_4/adap_multi//bad	-0.314607812634272	-0.407104958411213	-0.187313071856159	-0.287913074384787
all_4/adap_multi//her2	0.0747471458429523	-0.202625373828928	-0.0404316199386965	-0.206116859501502
all_4/adap_multi//igf1r	0.450536203186009	0.616746376825582	0.155527778271554	0.420321968997344
all_4/nonadap_multi//akt	0.30512878081964	0.550412427204428	0.334453668331336	0.469701104825899
all_4/nonadap_multi//bad	-0.271547364220913	-0.35973733085874	-0.153359148411761	-0.264550599884819
all_4/nonadap_multi//her2	-0.0246632354418899	-0.346076476376599	-0.121109734470347	-0.296376499795078
all_4/nonadap_multi//igf1r	0.456820206350629	0.629582277996362	0.147038018755483	0.409046436097019
akt_s_a	0	0	0	0
bad_s_a	0	0	0	0
her2_s_a	0	0	0	0
igf1r_s_a	0	0	0	0
